p1,p2,r,p,var_set_1,var_set_2,p_adjust_bh
totsites,PercBlk,-0.08236644240926645,0.5537754397805157,dep,ind,0.6270692479867604
totsites,PercWhite,0.09950625859145834,0.47406008980247427,dep,ind,0.5541992044483389
totsites,mhhi20,0.19155179739137213,0.16527014725814299,dep,ind,0.23566298775698163
totsites,bahigher20,0.25563243647119016,0.06208572521514057,dep,ind,0.1166000205259957
totsites,avg_temp,0.026280621656360838,0.8503781041062015,dep,ind,0.8615672896865462
totsites,vacant20,0.10724960816278502,0.4401679256986345,dep,ind,0.5379830202983311
totsites,PercentImp,0.0329923231760796,0.8127850995481352,dep,ind,0.85084199644838
percent_filled,PercBlk,-0.6111831624442812,9.166722769418788e-7,dep,ind,8.822970665565584e-6
percent_filled,PercWhite,0.578838867518928,4.539226932666701e-6,dep,ind,3.8835608201703996e-5
percent_filled,mhhi20,0.44842640336973866,6.722259766412859e-4,dep,ind,0.003450760013425268
percent_filled,bahigher20,0.6297664937230104,3.3635553029643174e-7,dep,ind,3.699910833260749e-6
percent_filled,avg_temp,0.24248457780491042,0.07728396599651671,dep,ind,0.14168727099361397
percent_filled,vacant20,-0.20276426357575403,0.14143569567669861,dep,ind,0.21781097134211588
percent_filled,PercentImp,0.28748143825164174,0.03504501991089273,dep,ind,0.07406162132987984
pct_2.97,PercBlk,0.10366681108152667,0.45567910456813177,dep,ind,0.5482389226835336
pct_2.97,PercWhite,-0.09540548116321473,0.49255701792835893,dep,ind,0.5660729907534872
pct_2.97,mhhi20,-0.03420771719042762,0.8060195158850463,dep,ind,0.85084199644838
pct_2.97,bahigher20,-0.19207716766070848,0.16409169315768643,dep,ind,0.23566298775698163
pct_2.97,avg_temp,-0.7060056918374509,2.475069494715863e-9,dep,ind,4.7645087773280365e-8
pct_2.97,vacant20,-0.39656717276512127,0.002990170407440155,dep,ind,0.012791284520716218
pct_2.97,PercentImp,-0.783894671283307,2.396527493348761e-12,dep,ind,1.050720159849287e-10
rare_rich,PercBlk,-0.1434216017222732,0.3008420586503279,dep,ind,0.3736264276786331
rare_rich,PercWhite,0.2327035251135982,0.09039157215451932,dep,ind,0.1581852512704088
