p1,p2,r,p,var_set_1,var_set_2,p_adjust_bh
totsites,PercBlk,-0.08236644240926645,0.5537754397805157,dep,ind,0.6179812878710103
totsites,PercWhite,0.09950625859145834,0.47406008980247427,dep,ind,0.5378992278469171
totsites,mhhi20,0.19155179739137213,0.16527014725814299,dep,ind,0.2194103679116726
totsites,bahigher20,0.25563243647119016,0.06208572521514057,dep,ind,0.10865001912649601
totsites,avg_temp,0.026280621656360838,0.8503781041062015,dep,ind,0.8730548535490336
totsites,vacant20,0.10724960816278502,0.4401679256986345,dep,ind,0.5135292466484069
totsites,PercentImp,0.0329923231760796,0.8127850995481352,dep,ind,0.8573212693863891
percent_filled,PercBlk,-0.6111831624442812,9.166722769418788e-7,dep,ind,8.822970665565584e-6
percent_filled,PercWhite,0.578838867518928,4.539226932666701e-6,dep,ind,3.8835608201703996e-5
percent_filled,mhhi20,0.44842640336973866,6.722259766412859e-4,dep,ind,0.003450760013425268
percent_filled,bahigher20,0.6297664937230104,3.3635553029643174e-7,dep,ind,4.3165626388042075e-6
percent_filled,avg_temp,0.24248457780491042,0.07728396599651671,dep,ind,0.13224145292737302
percent_filled,vacant20,-0.20276426357575403,0.14143569567669861,dep,ind,0.19800997394737804
percent_filled,PercentImp,0.28748143825164174,0.03504501991089273,dep,ind,0.07211263129488271
Perc2.97,PercBlk,0.31204873634164554,0.021612311567377255,dep,ind,0.05042872699054693
Perc2.97,PercWhite,-0.32675617304928395,0.015883666034532277,dep,ind,0.03878692335600319
Perc2.97,mhhi20,-0.23391377879100683,0.08868139420078593,dep,ind,0.14500314699787492
Perc2.97,bahigher20,-0.3969924540582451,0.002956548128387361,dep,ind,0.012647455882545932
Perc2.97,avg_temp,-0.6154876397618124,7.308910462559122e-7,dep,ind,8.039801508815034e-6
Perc2.97,vacant20,-0.28405560968279253,0.03737687582155702,dep,ind,0.07379537021179207
Perc2.97,PercentImp,-0.8149009624879491,6.448357433269768e-14,dep,ind,4.9652352236177214e-12
rare_rich,PercBlk,-0.14342160172227286,0.3008420586503291,dep,ind,0.36195060181367716
rare_rich,PercWhite,0.23270352511359813,0.09039157215451943,dep,ind,0.14500314699787492
rare_rich,mhhi20,0.22442192643695172,0.10279451282867602,dep,ind,0.15830354975616107
rare_rich,bahigher20,0.17358465870547532,0.20937368975698933,dep,ind,0.2708324181637006
rare_rich,avg_temp,-0.6624951794016039,4.8524773917694087e-8,dep,ind,9.341018979156111e-7
rare_rich,vacant20,-0.3502115452034139,0.00942926772053528,dep,ind,0.02689087461041543
rare_rich,PercentImp,-0.6537385011435622,8.334791917362506e-8,dep,ind,1.283557955273826e-6
Evar,PercBlk,0.2866671614983071,0.035588051807864195,dep,ind,0.07211263129488271
Evar,PercWhite,-0.240723864669205,0.07952539807992356,dep,ind,0.1331186011337851
Evar,mhhi20,-0.19346911397916008,0.1609991603211992,dep,ind,0.21749009376723402
Evar,bahigher20,-0.3410414682043025,0.011614304279840641,dep,ind,0.029810047651590982
Evar,avg_temp,-0.4493416991650481,6.533312243573633e-4,dep,ind,0.003450760013425268
Evar,vacant20,-0.17106058690435222,0.21617612107421982,dep,ind,0.2708324181637006
Evar,PercentImp,-0.5037156526969309,1.0323347501835728e-4,dep,ind,6.624147980344592e-4
spave,PercBlk,-0.016471150214621984,0.905898449266402,dep,ind,0.9178181657041177
spave,PercWhite,-0.02911641517734917,0.8344491064166933,dep,ind,0.8682781242443971
spave,mhhi20,-0.09928962029321063,0.4750278895271476,dep,ind,0.5378992278469171
spave,bahigher20,-0.1955177309465593,0.15652574194857238,dep,ind,0.21522289517928703
spave,avg_temp,-0.3260683838556883,0.016119240875222107,dep,ind,0.03878692335600319
spave,vacant20,-0.20306521043654877,0.1408333657442259,dep,ind,0.19800997394737804
spave,PercentImp,-0.266483780738064,0.051437946889092145,dep,ind,0.09430290263000227
AvgDBH_smallmed,PercBlk,0.2676474184069809,0.05039014211425049,dep,ind,0.09430290263000227
AvgDBH_smallmed,PercWhite,-0.13272217738159792,0.33870599367695564,dep,ind,0.40123633097116285
AvgDBH_smallmed,mhhi20,-0.004041090001880925,0.9768637306353368,dep,ind,0.9768637306353368
AvgDBH_smallmed,bahigher20,-0.04676977190342778,0.7370004042048535,dep,ind,0.7992821285038553
AvgDBH_smallmed,avg_temp,-0.5595885602131617,1.0873900360284559e-5,dep,ind,8.37290327741911e-5
AvgDBH_smallmed,vacant20,-0.20506900347255425,0.136871593379274,dep,ind,0.19800997394737804
AvgDBH_smallmed,PercentImp,-0.5343844821637843,3.153126577178428e-5,dep,ind,2.2071886040248996e-4
AvgDBH_large,PercBlk,0.28842832068978214,0.03442220785574581,dep,ind,0.07211263129488271
AvgDBH_large,PercWhite,-0.17220958858663007,0.21306062837145315,dep,ind,0.2708324181637006
AvgDBH_large,mhhi20,-0.05007283933888421,0.7191652749502557,dep,ind,0.7910818024452814
AvgDBH_large,bahigher20,-0.161229519722553,0.24413786532798853,dep,ind,0.29839072428976376
AvgDBH_large,avg_temp,-0.7630699536711008,1.980712625335486e-11,dep,ind,5.083829071694415e-10
AvgDBH_large,vacant20,-0.29794571715102436,0.028656756079648536,dep,ind,0.06304486337522679
