total_trees,CSA2010,total_st,total_area,richness.x,Evar.x,rich_area,rich_st,large,medium,small,AvgDBH,cv,total_sm_trees,tot_SM_st,sm_area,Avg_SM_DBH,cv_SM,richness.y,Evar.y,rich_area_SM,sm_rich_tot,SM_rich_st,total_L_trees,l_area,L_rich_st.x,richness,Evar,rich_area_L,L_rich_st.y,L_rich_tot,Avg_L_DBH,cv_L
2709,Inner Harbor/Federal Hill,0.026334030980892965,0.0011664878252946576,77,0.22651999805326228,3.3155984698297765e-5,7.485125085008337e-4,94,1777,838,8.76063122923588,0.6368875715317637,838,0.0081461491184895915,3.608404568464094e-4,3.1899761336515513,0.3358130522720846,62,0.3846054700520035,3.3155984698297765e-5,0.028423772609819122,7.485125085008337e-4,89,3.8323151144785725e-5,8.651638085269375e-4,20,0.5778619505842824,3.3155984698297765e-5,7.485125085008337e-4,0.028423772609819122,24.417021276595744,0.25361607434550054
1501,Loch Raven,0.01683384815566389,3.667789647254424e-4,97,0.3089240287876046,2.3702571338019925e-5,0.0010878636049962674,606,607,288,16.917121918720852,0.6186176971941446,288,0.0032299455488548966,7.037464479742e-5,2.473263888888889,0.46252014093101323,45,0.4512299138240352,2.3702571338019925e-5,0.06462358427714857,0.0010878636049962674,599,1.4636948692241171e-4,0.006717838138069733,50,0.3194507221601719,2.3702571338019925e-5,0.0010878636049962674,0.06462358427714857,27.185808580858087,0.2204187500317258
1557,Madison/East End,0.02481018064013693,0.0018834282506979693,50,0.2533959740473861,6.048260278413517e-5,7.967302710384371e-4,23,347,1187,4.232819524727039,1.0453166967165852,1187,0.018914376634452498,0.0014358569900953689,2.18441449031171,0.444896596258295,39,0.2596207946242116,6.048260278413517e-5,0.03211303789338472,7.967302710384371e-4,22,2.6612345225019475e-5,3.5056131925691235e-4,13,0.7939822866448536,6.048260278413517e-5,7.967302710384371e-4,0.03211303789338472,22.791304347826088,0.11219845635329466
3562,Midtown,0.020848442930809386,0.0016093019641435595,85,0.20443910088233086,3.840277005957399e-5,4.975063585398085e-4,156,1972,1434,7.876473891072431,0.7583452923570922,1434,0.008393224919365712,6.478773207697541e-4,2.815760111576011,0.42533166806343065,67,0.2714924827051012,3.840277005957399e-5,0.02386299831555306,4.975063585398085e-4,147,6.641420233832207e-5,8.603933494747277e-4,25,0.38450991932798007,3.840277005957399e-5,4.975063585398085e-4,0.02386299831555306,24.65576923076923,0.21357830047342377
1082,Midway/Coldstream,0.01461658974972073,6.511807616407588e-4,71,0.3349341298381624,4.2729976041121884e-5,9.591292719317669e-4,132,605,345,10.646765249537893,0.7063874358517048,345,0.0046605577298092895,2.0763157372094437e-4,2.891594202898551,0.42673692183435363,52,0.4498440635265345,4.2729976041121884e-5,0.06561922365988909,9.591292719317669e-4,128,7.703432300371269e-5,0.0017291344620741713,27,0.5174566455937388,4.2729976041121884e-5,9.591292719317669e-4,0.06561922365988909,24.724242424242423,0.17798201566536664
770,Morrell Park/Violetville,0.010004713848885068,1.2366468241062616e-4,78,0.39024476499883454,1.252707172471278e-5,0.0010134645197571886,208,396,166,14.248701298701299,0.673108099392159,166,0.0021568603882011965,2.66601782859272e-5,3.186144578313253,0.36622975054641227,45,0.5869843972128816,1.252707172471278e-5,0.1012987012987013,0.0010134645197571886,199,3.1960093246382606e-5,0.0025856338388676996,36,0.4647068694542038,1.252707172471278e-5,0.0010134645197571886,0.1012987012987013,27.077403846153846,0.22070123230670577
1227,Mount Washington/Coldspring,0.009765340139181513,2.3193724878190413e-4,104,0.3350782312120367,1.9658902912239632e-5,8.277060916665667e-4,364,580,283,14.107522412387938,0.7558557630687771,283,0.002252315614823446,5.3494899270805926e-5,2.8431095406360423,0.4580098954390802,69,0.5488207855688325,1.9658902912239632e-5,0.08475957620211899,8.277060916665667e-4,345,6.521462985310263e-5,0.0027457557848554375,48,0.44521612822943624,1.9658902912239632e-5,8.277060916665667e-4,0.08475957620211899,27.81684065934066,0.26399623369845776
5422,North Baltimore/Guilford/Homeland,0.031301034986937044,7.804551685938622e-4,147,0.21642134191279594,2.1159518587845398e-5,8.486263635337044e-4,1533,2853,1036,14.820999631132423,0.6905834430091661,1036,0.005980795323951822,1.491242262381485e-4,3.0995173745173745,0.38726220908173303,101,0.35126842538392633,2.1159518587845398e-5,0.027111766875691626,8.486263635337044e-4,1506,2.1677710879792632e-4,0.008694090499875911,80,0.25815484381016796,2.1159518587845398e-5,8.486263635337044e-4,0.027111766875691626,28.209344422700585,0.24787285607857162
1708,Northwood,0.014067908315136303,3.485557079976597e-4,90,0.26842419972224874,1.8366518571305255e-5,7.412832250364563e-4,494,778,436,14.178688524590164,0.7271268511201178,436,0.003591105401287721,8.897557885654545e-5,2.5339449541284402,0.522653777132124,58,0.4098664958995989,1.8366518571305255e-5,0.05269320843091335,7.412832250364563e-4,491,1.0019956242789865e-4,0.004044111816587778,46,0.3193215135671451,1.8366518571305255e-5,7.412832250364563e-4,0.05269320843091335,27.27570850202429,0.23813559825527894
2314,Oldtown/Middle East,0.019173175415912718,0.0010131317460935977,65,0.21773112642032721,2.845875691274151e-5,5.385723431436156e-4,112,1208,994,8.058483146067415,0.7282183589518193,994,0.008236013985919291,4.352000672502317e-4,3.08476861167002,0.3296934585833802,48,0.2893774124277051,2.845875691274151e-5,0.028089887640449437,5.385723431436156e-4,111,4.8598800266373965e-5,9.197158475221744e-4,19,0.4235594687091734,2.845875691274151e-5,5.385723431436156e-4,0.028089887640449437,23.024107142857144,0.11804080425624502
