Allendale/Irvington/S. Hilton,31.371837901759918,59224
Beechfield/Ten Hills/West Hills,30.193121029486903,44482
Belair-Edison,31.946157791306927,41746
Brooklyn/Curtis Bay/Hawkins Point,31.612187636484855,163442
Canton,32.249882903617625,14308
Cedonia/Frankford,31.278586786980643,66439
Cherry Hill,31.407198525637472,27075
Chinquapin Park/Belvedere,31.091293761074898,19516
Orchard Ridge/Armistead,31.702643077372624,56863
Clifton-Berea,32.735742567119985,21654
Cross-Country/Cheswolde,30.80860360407044,35499
Dickeyville/Franklintown,29.092658764597093,33167
Dorchester/Ashburton,31.33445330684654,31695
Downtown/Seton Hill,32.74559929133762,19255
Edmondson Village,30.178658378906473,21884
Fells Point,32.394216609908604,11718
Forest Park/Walbrook,30.043626855101103,34556
Glen-Fallstaff,31.457985758595697,43644
Greater Charles Village/Barclay,32.331384164194795,25127
Greater Govans,31.275101651634877,21072
Greater Mondawmin,31.820191027913584,31284
Greater Roland Park/Poplar Hill,30.17891667774461,52665
Greater Rosemont,31.64457889385874,39193
Hamilton,31.267199920975695,41969
Hamilton Hills,31.25523647483819,60698
Highlandtown,32.91605366269015,10856
Howard Park/West Arlington,30.771270265531342,58755
Inner Harbor/Federal Hill,32.40627490855969,23237
Greater Lauraville,31.005068566050955,46125
Loch Raven,31.238121998317354,41015
Madison/East End,33.27145940762624,8258
Hampden/Remington,31.74123672402881,58004
Midway/Coldstream,32.506733506779774,16607
Morrell Park/Violetville,31.987748386241094,62664
Mount Washington/Coldspring,29.81912295422685,52891
North Baltimore/Guilford/Homeland,30.699548082313573,69566
Northwood,31.47316204884386,48984
Greektown/Bayview,32.31240085957114,83475
Patterson Park North & East,33.196074410613406,13487
Penn North/Reservoir Hill,31.32148678870791,38141
Pimlico/Arlington/Hilltop,31.810321034765195,28244
Poppleton/The Terraces/Hollins Market,32.2446355684915,8632
Sandtown-Winchester/Harlem Park,32.678749828035926,21991
South Baltimore,32.01542417594216,43046
Southeastern,32.01043321934812,103284
Southern Park Heights,31.61918625356499,25874
Southwest Baltimore,32.40969063976804,35079
The Waverlies,32.017497822662776,18946
Pigtown/Carroll Park,32.2583864526448,36544
Westport/Mount Winans/Lakeland,31.896758166345496,42248
Unassigned -- Jail,32.862404458509765,1464
Oldtown/Middle East,32.95811848669065,22823
Harbor East/Little Italy,32.4888952592218,9498
Upton/Druid Heights,32.40387408221066,15758
Midtown,32.69285516915578,22130
Oliver/Johnson Square,32.61465060241282,17718
