SPP,Genus,Species,Family
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae
Lagerstroemia indica,Lagerstroemia,indica,Lythraceae
Lagerstroemia speciosa,Lagerstroemia,speciosa,Lythraceae
Larix decidua,Larix,decidua,Pinaceae
Larix laricina,Larix,laricina,Pinaceae
Ligustrum lucidum,Ligustrum,lucidum,Oleaceae
Liquidambar formosana,Liquidambar,formosana,Altingiaceae
Liquidambar orientalis,Liquidambar,orientalis,Altingiaceae
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae
Lonicera spp.,Lonicera,spp.,Caprifoliaceae
Maackia amurensis,Maackia,amurensis,Fabaceae
Maclura pomifera,Maclura,pomifera,Moraceae
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae
Magnolia spp.,Magnolia,spp.,Magnoliaceae
Magnolia stellata,Magnolia,stellata,Magnoliaceae
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae
Magnolia x,Magnolia,x,Magnoliaceae
Magnolia x soulangiana,Magnolia,x soulangiana,Magnoliaceae
Malus angustifolia,Malus,angustifolia,Rosaceae
Malus pumila,Malus,pumila,Rosaceae
Malus spp.,Malus,spp.,Rosaceae
Metasequoia glyptostroboides,Metasequoia,glyptostroboides,Cupressaceae
Morus alba,Morus,alba,Moraceae
Morus rubra,Morus,rubra,Moraceae
Musa acuminata,Musa,acuminata,Musaceae
Myrica cerifera,Myrica,cerifera,Myricaceae
Nyssa sylvatica,Nyssa,sylvatica,Nyssaceae
Ostrya virginiana,Ostrya,virginiana,Betulaceae
Parrotia persica,Parrotia,persica,Hamamelidaceae
Paulownia tomentosa,Paulownia,tomentosa,Paulowniaceae
"persimmon, Japanese",Diospyros,kaki,Ebenaceae
Phellodendron amurense,Phellodendron ,amurense,Rutaceae
Photinia serrulata,Photinia,serrulata,Rosaceae
Photinia spp.,Photinia,spp.,Rosaceae
Photinia x fraseri,Photinia,x fraseri,Rosaceae
Physocarpus opulifolius,Physocarpus,opulifolius,Rosaceae
Picea abies,Picea,abies,Pinaceae
Picea glauca,Picea,glauca,Pinaceae
Picea omorika,Picea,omorika,Pinaceae
Picea orientalis,Picea,orientalis,Pinaceae
Picea pungens,Picea,pungens,Pinaceae
Pinus echinata,Pinus,echinata,Pinaceae
Pinus mugo,Pinus,mugo,Pinaceae
Pinus nigra,Pinus,nigra,Pinaceae
Pinus palustris,Pinus,palustris,Pinaceae
Pinus parviflora,Pinus,parviflora,Pinaceae
Pinus resinosa,Pinus,resinosa,Pinaceae
Pinus serotina,Pinus,serotina,Pinaceae
Pinus strobus,Pinus,strobus,Pinaceae
Pinus sylvestris,Pinus,sylvestris,Pinaceae
Pinus taeda,Pinus,taeda,Pinaceae
Pinus thunbergii,Pinus,thunbergii,Pinaceae
Pinus virginiana,Pinus,virginiana,Pinaceae
Pistacia chinensis,Pistacia,chinensis,Anacardiaceae
Platanus occidentalis,Platanus,occidentalis,Platanaceae
Platanus x acerifolia,Platanus,x acerifolia,Platanaceae
Platycladus orientalis,Platycladus,orientalis,Cupressaceae
Poncirus trifoliata,Poncirus,trifoliata,Rutaceae
Populus alba,Populus,alba,Salicaceae
Populus balsamifera,Populus,balsamifera,Salicaceae
Populus deltoides,Populus,deltoides,Salicaceae
Populus grandidentata,Populus,grandidentata,Salicaceae
Populus nigra,Populus,nigra,Salicaceae
Populus spp.,Populus,spp.,Salicaceae
Prunus americana,Prunus,americana,Rosaceae
Prunus armeniaca,Prunus,armeniaca,Rosaceae
Prunus avium,Prunus,avium,Rosaceae
Prunus campanulata,Prunus,campanulata,Rosaceae
Prunus caroliniana,Prunus,caroliniana,Rosaceae
Prunus cerasifera,Prunus,cerasifera,Rosaceae
Prunus persica,Prunus,persica,Rosaceae
Prunus sargentii,Prunus,sargentii,Rosaceae
Prunus serotina,Prunus,serotina,Rosaceae
Prunus serrulata,Prunus,serrulata,Rosaceae
Prunus spp.,Prunus,spp.,Rosaceae
Prunus subhirtella,Prunus,subhirtella,Rosaceae
Prunus virginiana,Prunus,virginiana,Rosaceae
Prunus x yedoensis,Prunus,x yedoensis,Rosaceae
Pseudotsuga menziesii,Pseudotsuga,menziesii,Pinaceae 
Pyrus calleryana,Pyrus,calleryana,Rosaceae
Pyrus communis,Pyrus,communis,Rosaceae
Quercus acutissima,Quercus,acutissima,Fagaceae
Quercus alba,Quercus,alba,Fagaceae
Quercus bicolor,Quercus,bicolor,Fagaceae
Quercus coccinea,Quercus,coccinea,Fagaceae
Quercus ellipsoidalis,Quercus,ellipsoidalis,Fagaceae
Quercus falcata,Quercus,falcata,Fagaceae
Quercus imbricaria,Quercus,imbricaria,Fagaceae
Quercus lyrata,Quercus,lyrata,Fagaceae
Quercus macrocarpa,Quercus,macrocarpa,Fagaceae
Quercus marilandica,Quercus,marilandica,Fagaceae
Quercus michauxii,Quercus,michauxii,Fagaceae
Quercus muehlenbergii,Quercus,muehlenbergii,Fagaceae
Quercus nigra,Quercus,nigra,Fagaceae
Quercus palustris,Quercus,palustris,Fagaceae
Quercus phellos,Quercus,phellos,Fagaceae
Quercus prinus,Quercus,prinus,Fagaceae
Quercus robur,Quercus,robur,Fagaceae
Quercus rubra,Quercus,rubra,Fagaceae
Quercus shumardii,Quercus,shumardii,Fagaceae
Quercus stellata,Quercus,stellata,Fagaceae
Quercus texana,Quercus,texana,Fagaceae
Quercus velutina,Quercus,velutina,Fagaceae
Quercus virginiana,Quercus,virginiana,Fagaceae
Quercus x,Quercus,x,Fagaceae
Rhamnus cathartica,Rhamnus,cathartica,Rhamnaceae
Rhus spp.,Rhus,spp.,Anacardiaceae
Rhus typhina,Rhus,typhina,Anacardiaceae
Robinia pseudoacacia,Robinia,pseudoacacia,Fabaceae
Salix babylonica,Salix,babylonica,Salicaceae
Salix discolor,Salix,discolor,Salicaceae
Salix matsudana,Salix,matsudana,Salicaceae
Salix nigra,Salix,nigra,Salicaceae
Salix spp.,Salix,spp.,Salicaceae
Sassafras albidum,Sassafras,albidum,Lauraceae
Sorbus alnifolia,Sorbus,alnifolia,Rosaceae
Sorbus aucuparia,Sorbus,aucuparia,Rosaceae
Styphnolobium japonicum,Styphnolobium,japonicum,Fabaceae
Styrax americanus,Styrax,americanus,Styracaceae
Styrax japonicus,Styrax,japonicus,Styracaceae
Syringa pekinensis,Syringa,pekinensis,Oleaceae
Syringa reticulata,Syringa,reticulata,Oleaceae
